اسم الجهة الحكومية,نوع الفعالية,عنوان الفعالية,تاريخ بداية الفعالية,تاريخ نهاية الفعالية,نوع الموقع,موقع الفعالية,المدينة,رقم الطلب
هيئة تقويم التعليم والتدريب,دورة تدريبية,البرنامج أخصائي التقويم المدرسي,2/11/2026,2/12/2026,فنادق,فندق فوكو,جدة,GOV-2026-0354
وزارة الصحة,ورشة عمل,ورشة عمل لموسم حج حول إجراءات التعامل مع الجثامين والدفن المباشر,2/15/2026,2/15/2026,فنادق,مكة المكرمة فندق فور بوينت شيرتون مكة النسيم,مكة المكرمة,GOV-2026-0355
جامعة الأميرة نورة,اجتماع,اجتماع سنوي,2/11/2026,2/11/2026,فنادق,فندق كراون بلازا - المدينة الرقمية,الرياض,GOV-2026-0356
الهيئة السعودية للسياحة,اجتماع,اجتماع الإدارة التنفيذية للهيئة السعودية للسياحة,2/11/2026,2/11/2026,فنادق,فندق ماريوت السفارات,الرياض,GOV-2026-0358
الطيران الملكي السعودي,اجتماع,اجتماع و تقديم على الوظائف,2/9/2026,2/11/2026,فنادق,جي دبليو ماريوت,الرياض,GOV-2026-0365
الهيئة السعودية للمياه,اجتماع,اللقاء السنوي لقطاع أعمال تحلية المياه,2/8/2026,2/8/2026,فنادق,فندق ميلينيوم المسار,جدة,GOV-2026-0366
الهيئة السعودية للبيانات والذكاء الاصطناعي,دورة تدريبية,تصنيف البيانات,2/3/2026,2/4/2026,فنادق,فندق فوكو,الرياض,GOV-2026-0368
الهيئة السعودية للمراجعين والمحاسبين,دورة تدريبية,فاحص احتيال مالي,2/8/2026,2/16/2026,فنادق,فوكو الخبر,الخبر,GOV-2026-0370
مجلس الضمان الصحي,ورشة عمل,الإبتكار المؤسسي نحو التميز,2/9/2026,2/9/2026,فنادق,هيلتون جاردن إن,الرياض,GOV-2026-0371
وزارة التعليم,اجتماع,التحول الاستراتيجي نحو البعد الدولي,2/5/2026,2/5/2026,فنادق,فندق الانتركونتيننتال الاحساء,الأحساء,GOV-2026-0374
الهيئة العامة للمعارض,اجتماع,اجتماع للشركة,2/4/2026,2/4/2026,فنادق,فندق ميريديان الخبر,الخبر,GOV-2026-0375
المركز الوطني للتخصيص,ورشة عمل,إدارة العقود,2/5/2026,2/5/2026,فنادق,فندق نوفوتيل الصحافة,الرياض,GOV-2026-0381
هيئة الحكومة الرقمية,دورة تدريبية,تحسين الظهور على محركات البحث للمواقع الحكومية,2/9/2026,2/11/2026,فنادق,فندق لومريديان,الرياض,GOV-2026-0387
هيئة تقويم التعليم والتدريب,دورة تدريبية,برنامج تأهيل مراجعي اعتماد اكاديمي مسائي,2/8/2026,2/11/2026,فنادق,فندق بريرا قرطبة,الرياض,GOV-2026-0388
هيئة الصحة العامة,دورة تدريبية,دورة الوبائيات الحقلي FETP PHEP لمتلازمة الشرق الأوسط التنفسية MERS  CoV في الحج والعمرة,2/8/2026,2/12/2026,فنادق,فندق بارك إن باي راديسون جدة طريق المدينة,جدة,GOV-2026-0391
المؤسسة العامة لجسر الملك فهد,دورة تدريبية,operations and response,2/5/2026,2/5/2026,فنادق,le meridien hotel alkhobar,الخبر,GOV-2026-0392
هيئة الحكومة الرقمية,دورة تدريبية,البرمجيات مفتوحة المصدرللمحترفين,2/9/2026,2/12/2026,فنادق,كروان بلازا الرقمية,الرياض,GOV-2026-0393
جامعة المجمعة,دورة تدريبية,اعداد التقارير باستخدام Power BI,2/22/2026,2/26/2026,فنادق,هوليدي ان - الازدهار,الرياض,GOV-2026-0395
